name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:06e001m_25,-3.89947,0.539469,-5.25322,-2.55046,-3.36,-4.43894,18.8587,14.835,-1.92989,79.8346,33.6937,4.02368,0.620575
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:17c001m_147,-6.41052,0.491846,-7.74678,-4.34389,-5.91867,-6.90237,1.55086,3.72734,-3.54961,21.2333,5.2782,-2.17649,0.794284
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_106,-2.37326,0.487442,-3.78398,-0.902618,-1.88582,-2.8607,-21.9833,10.9459,-74.4163,-4.48137,-11.0373,-32.9292,0.697383
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_108,-3.33176,0.499861,-4.8523,-1.76335,-2.8319,-3.83162,-150.422,1409.64,-17298.8,-7.76869,1259.22,-1560.06,2.91639
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_109,-1.66533,0.497398,-2.71104,-0.283827,-1.16793,-2.16273,-502.131,5816.62,-71265.7,-3.8866,5314.49,-6318.75,1.17556
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_117,-3.13269,0.473102,-4.04841,-1.54518,-2.65959,-3.6058,-21289.4,260396,-3.18921e+06,-5.73304,239106,-281685,1.68463
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_126,-1.81646,0.505337,-3.24127,-0.523742,-1.31113,-2.3218,-44481.6,544578,-6.66971e+06,-3.38697,500097,-589060,0.145704
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_127,-2.34394,0.489198,-3.65094,-1.13479,-1.85474,-2.83314,-46473.6,568849,-6.96698e+06,-6.18734,522375,-615323,2.53641
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_128,-2.79052,0.535567,-4.12748,-1.29665,-2.25496,-3.32609,-48626.5,595131,-7.28888e+06,-7.41215,546505,-643758,3.28467
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_129,-3.22249,0.503535,-4.63907,-1.82952,-2.71896,-3.72602,-51195.4,626554,-7.67372e+06,-7.59976,575358,-677749,2.96069
