iteration,total_runs,obs_realization,par_realization,flux,hds,aguacal_log,aguacal_raw,kenwood_log,ken_raw
0,150,0,0,0,2.65193e+09,1.12164e+09,0,2.32408e+08,0
0,150,1,1,0,2.01524e+09,1.12717e+09,0,2.37601e+08,0
0,150,2,2,0,2.48488e+09,1.06409e+09,0,2.85381e+08,0
0,150,3,3,0,2.40152e+09,1.04587e+09,0,1.73797e+08,0
0,150,4,4,0,2.40151e+13,2.52865e+09,0,1.93658e+08,0
0,150,5,5,0,4.28425e+11,1.09248e+09,0,1.84167e+08,0
0,150,6,6,0,2.52145e+09,9.60989e+08,0,2.08107e+08,0
0,150,7,7,0,2.20025e+09,1.04212e+09,0,1.83774e+08,0
0,150,8,8,0,1.93947e+09,2.44022e+09,0,2.1919e+08,0
0,150,9,9,0,2.46387e+09,1.35558e+09,0,1.70061e+08,0
0,150,10,10,0,2.20439e+09,1.11132e+09,0,1.99631e+08,0
0,150,11,11,0,1.89376e+09,1.01776e+09,0,2.16504e+08,0
0,150,12,12,0,2.20106e+09,9.89535e+08,0,1.90355e+08,0
0,150,13,13,0,2.69511e+09,1.17333e+09,0,2.13574e+08,0
0,150,14,14,0,2.3187e+09,1.01107e+09,0,2.222e+08,0
0,150,15,15,0,2.89691e+09,1.01034e+09,0,2.08352e+08,0
0,150,16,16,0,2.46953e+09,8.16203e+08,0,2.21436e+08,0
0,150,17,17,0,3.25668e+09,1.01209e+09,0,2.4061e+08,0
0,150,18,18,0,3.84489e+09,9.66232e+08,0,2.14143e+08,0
0,150,19,19,0,2.24669e+09,1.30117e+09,0,2.54903e+08,0
0,150,20,20,0,2.75658e+09,1.20936e+09,0,2.09728e+08,0
0,150,21,21,0,2.51355e+09,1.04182e+09,0,2.16541e+08,0
0,150,22,22,0,3.37973e+09,1.0156e+09,0,1.89717e+08,0
0,150,23,23,0,1.96936e+09,1.18437e+09,0,1.93388e+08,0
0,150,24,24,0,1.87116e+09,1.01207e+09,0,1.53787e+08,0
0,150,25,25,0,2.74277e+09,1.22712e+09,0,2.00653e+08,0
0,150,26,26,0,2.0221e+09,9.60107e+08,0,2.12878e+08,0
0,150,27,27,0,2.64264e+09,1.01278e+09,0,2.79372e+08,0
